10132,The Sowers,Henry Seton Merriman,english
10138,The Atlantic Monthly, Volume 1, Issue 2, December, 1857,Various,english
10130,Books for Children,Charles and Mary Lamb,english
10142,Maezli,Johanna Spyri,english
10140,Rhetoric and Poetry in the Renaissance,Donald Lemen Clark,english
10134,John Wesley, Jr.,Dan B. Brummitt,english
10139,The Faith of the Millions (2nd series),George Tyrrell,english
1015,The Oregon Trail,Francis Parkman, Jr.,english
10125,The Best Letters of Charles Lamb,Charles Lamb,english
10129,Excellent Women,Various,english
10128,The Great Events by Famous Historians, Vol. 17,Charles Francis Horne,english
10131,Required Poems for Reading and Memorizing,Anonymous,english
10136,The Book of Household Management,Mrs. Isabella Beeton,english
10145,Turkey: A Past and a Future,Arnold Joseph Toynbee,english
10150,Dracula's Guest,Bram Stoker,english
10147,America's War for Humanity,Thomas Herbert Russell,english
10146,Reminiscences of Pioneer Days in St. Paul,Frank Moore,english
10162,Dio's Rome, Vol. III,Cassius Dio,english
10163,Mohammedanism,C. Snouck Hurgronje,english
10164,The Black Creek Stopping-House,Nellie McClung,english
10149,Home as Found,James Fenimore Cooper,english
102,The Tragedy of Pudd'nhead Wilson,Mark Twain (Samuel Clemens),english
103,Around the World in 80 Days,Jules Verne,english
106,Jungle Tales of Tarzan,Edgar Rice Burroughs,english
105,Persuasion,Jane Austen,english
10161,English Poets of the Eighteenth Century,Selected and Edited with an Introduction by Ernest Bernbaum,english
10202,Maria Mitchell: Life, Letters, and Journals,Maria Mitchell,english
10151,The Great Events by Famous Historians, Volume 5,Various,english
10148,The Merry Adventures of Robin Hood,Howard Pyle,english
107,Far from the Madding Crowd,Thomas Hardy,english
101,Hacker Crackdown,Bruce Sterling,english
10159,England and the War,Walter Raleigh,english
10214,Introduction to the Philosophy and Writings of Plato,Thomas Taylor,english
10216,Poems,Marietta Holley,english
10211,At Whispering Pine Lodge,Lawrence J. Leslie,english
10212,Peck's Bad Boy at the Circus,George W. Peck,english
10219,The Poetical Works of William Wordsworth,(Edited by William Knight),english
10166,What Germany Thinks,Thomas F. A. Smith,english
10213,The Everlasting Whisper,Jackson Gregory,english
10217,The Land Of Little Rain,Mary Hunter Austin,english
1020,Sword Blades and Poppy Seed,Amy Lowell,english
10201,The Desert of Wheat,Zane Grey,english
1029,The Night-Born,Jack London,english
1028,The Professor,(AKA Charlotte Bronte) Currer Bell,english
108,The Return of Sherlock Holmes,Arthur Conan Doyle,english
10224,Kalitan, Our Little Alaskan Cousin,Mary F. Nixon-Roulet,english
10222,The Pilgrims of New England,Mrs. J. B. Webb,english
10226,Beautiful Joe,by Marshall Saunders,english
10234,Old Creole Days,George Washington Cable,english
10251,Town Geology,Charles Kingsley,english
1027,The Lone Star Ranger,Zane Grey,english
10268,Patty at Home,Carolyn Wells,english
10274,Sermons on Evil-Speaking,Isaac Barrow,english
10267,The Outdoor Chums,Captain Quincy Allen,english
10165,Across the Zodiac,Percy Greg,english
10160,Pierre Noziere,Anatole France,french
1024,The Wrecker,Robert Louis Stevenson and Lloyd Osbourne,english
10221,Purple Springs,Nellie L. McClung,english
10266,The Glands Regulating Personality,Louis Berman, M.D.,english
10291,In The Fourth Year,H.G. Wells,english
10314,Sonnets,Michael Angelo Buonarroti & Tommaso Campanella,english
10316,Roy Blakeley's Adventures in Camp,Percy Keese Fitzhugh,english
10318,Damon and Delia,William Godwin,english
10319,Dave Darrin's Third Year at Annapolis,H. Irving Hancock,english
10315,Persian Literature, Volume 1,Comprising The Shah Nameh, The,Anonymous,english
1033,Rose O' the River,Kate Douglas Wiggin,english
10223,Meyers Konversationslexikon Volume 15,Various,german
1037,The Life of John Bunyan,Edmund Venables,english
10320,Dotty Dimple at Play,Sophie May,english
10321,Dragon's blood,Henry Milner Rideout,english
10323,The Rover Boys at College,Edward Stratemeyer,english
10317,Betty Gordon at Boarding School,Alice Emerson,english
10322,Miss Prudence,Jennie Maria (Drinkwater) Conklin,english
10325,The Gospel of the Pentateuch,Charles Kingsley,english
10324,Bull Hunter,Max Brand,english
1039,Missionary Travels and Researches in South Africa,David Livingstone,english
10293,Relacion historica de los sucesos de la rebelion de Jose Gabriel,Anonymous,spanish
10290,Confession de Minuit,Georges Duhamel,french
10330,Fruitfulness,Emile Zola,english
1036,Joe Wilson and His Mates,Henry Lawson,english
10333,The European Anarchy,G. Lowes Dickinson,english
10337,Lady Into Fox,David Garnett,english
10339,An Antarctic Mystery,Jules Verne,english
10335,Children's Rights and Others,Kate Douglas Smith Wiggin,english
10327,Alias The Lone Wolf,Louis Joseph Vance,english
10342,The Velvet Glove,Henry Seton Merriman,english
10336,A Select Collection of Old English Plays, Vol. VII (4th edition),Various,english
10341,The Great Events by Famous Historians, Vol. 21,Charles F. Horne, Editor,english
10328,Poems,Walter R. Cassels,english
10356,Travels in Morocco, Vol. 2.,James Richardson,english
10351,The Works of Samuel Johnson, Vol. 10.,Samuel Johnson,english
